utr,settlement_amount,settlement_date,order_id_ref
UTR-50004,3120.27,2026-08-02,ORD-10004
UTR-50015,9532.10,2026-08-02,ORD-10015
UTR-50022,1101.40,2026-08-02,ORD-10022
UTR-50058,2258.04,2026-08-02,ord-10060
UTR-50019,17552.93,2026-08-03,ORD-10019
UTR-50001,24349.35,2026-08-04,ORD-10001
UTR-50003,19399.54,2026-08-04,ORD-10003
UTR-50010,3219.45,2026-08-04,ORD-10010
UTR-50046,7763.85,2026-08-04,ORD-10045
UTR-50055,7412.08,2026-08-04,ORD-10
UTR-50009,11079.13,2026-08-05,ORD-10009
UTR-50026,6547.70,2026-08-05,ORD-10026
UTR-50030,3454.56,2026-08-05,ORD-10030
UTR-50047,4180.54,2026-08-05,ORD-10045
UTR-50062,7070.69,2026-08-05,ORD-10064
UTR-50034,22388.68,2026-08-06,ORD-10034
UTR-50036,9667.55,2026-08-06,ORD-10036
UTR-50063,7070.69,2026-08-06,ORD-10065
UTR-50069,6062.34,2026-08-06,ORD-10077
UTR-50008,11199.35,2026-08-07,ORD-10008
UTR-50068,17623.58,2026-08-07,ORD-10076
UTR-50075,108.44,2026-08-07,ORD-10083
UTR-50002,4622.94,2026-08-08,ORD-10002
UTR-50005,18440.25,2026-08-08,ORD-10005
UTR-50016,12505.35,2026-08-08,ORD-10016
UTR-50020,15197.48,2026-08-08,ORD-10020
UTR-50037,14917.00,2026-08-08,ORD-10037
UTR-50048,1363.81,2026-08-08,ORD-10046
UTR-50057,285.09,2026-08-08,ORD-1059
UTR-50073,12699.24,2026-08-08,ORD-10081
UTR-50021,22483.41,2026-08-09,ORD-10021
UTR-50039,16685.13,2026-08-09,ORD-10039
UTR-50042,17724.99,2026-08-09,ORD-10042
UTR-50049,584.49,2026-08-09,ORD-10046
UTR-50027,19884.81,2026-08-10,ORD-10027
UTR-50041,5058.47,2026-08-10,ORD-10041
UTR-50035,21053.43,2026-08-11,ORD-10035
UTR-50038,16453.97,2026-08-11,ORD-10038
UTR-50044,9636.01,2026-08-11,ORD-10044
UTR-50056,19327.70,2026-08-11,ORD-01058
UTR-50059,16897.30,2026-08-11,ORD-10062
UTR-50014,23137.08,2026-08-12,ORD-10014
UTR-50018,22010.34,2026-08-12,ORD-10018
UTR-50028,20487.86,2026-08-12,ORD-10028
UTR-50045,6424.01,2026-08-12,ORD-10044
UTR-50011,1473.93,2026-08-13,ORD-10011
UTR-50040,20987.64,2026-08-13,ORD-10040
UTR-50023,2218.27,2026-08-14,ORD-10023
UTR-50012,12453.10,2026-08-15,ORD-10012
UTR-50053,42396.67,2026-08-15,N/A-BATCH-02
UTR-50070,2520.58,2026-08-15,ORD-10078
UTR-50017,5379.47,2026-08-16,ORD-10017
UTR-50029,6402.00,2026-08-16,ORD-10029
UTR-50054,59876.88,2026-08-16,N/A-BATCH-03
UTR-50060,9175.85,2026-08-16,ORD-10062
UTR-50066,15538.31,2026-08-16,ORD-10068
UTR-50074,12135.78,2026-08-16,ORD-10082
UTR-50025,21114.58,2026-08-17,ORD-10025
UTR-50052,53265.14,2026-08-17,N/A-BATCH-01
UTR-50061,9175.85,2026-08-17,ORD-10063
UTR-50067,15538.31,2026-08-17,ORD-10069
UTR-50033,18854.86,2026-08-18,ORD-10033
UTR-50071,1707.81,2026-08-18,ORD-10079
UTR-50072,3106.97,2026-08-18,ORD-10080
UTR-50006,7273.57,2026-08-19,ORD-10006
UTR-50013,20649.79,2026-08-19,ORD-10013
UTR-50050,1578.06,2026-08-19,ORD-10047
UTR-50064,23752.73,2026-08-19,ORD-10066
UTR-50007,262.97,2026-08-20,ORD-10007
UTR-50024,7017.83,2026-08-20,ORD-10024
UTR-50031,23569.58,2026-08-20,ORD-10031
UTR-50043,68.76,2026-08-20,ORD-10043
UTR-50051,1052.04,2026-08-20,ORD-10047
UTR-50065,23752.73,2026-08-20,ORD-10067
UTR-50032,14316.31,2026-08-21,ORD-10032
