order_id,amount,txn_date,status,gateway_fee
ORD-10004,3120.27,2026-08-02,success,0.00
ORD-10015,9532.10,2026-08-02,success,0.00
ORD-10022,1101.40,2026-08-02,success,0.00
ORD-10060,2258.04,2026-08-02,success,0.00
ORD-10010,3219.45,2026-08-03,success,0.00
ORD-10019,17552.93,2026-08-03,success,0.00
ORD-10048,24033.62,2026-08-03,success,0.00
ORD-10001,24349.35,2026-08-04,success,0.00
ORD-10003,19399.54,2026-08-04,success,0.00
ORD-10034,22388.68,2026-08-04,success,0.00
ORD-10036,9667.55,2026-08-04,success,0.00
ORD-10045,11944.39,2026-08-04,success,0.00
ORD-10057,7412.08,2026-08-04,success,0.00
ORD-10071,21643.55,2026-08-04,success,0.00
ORD-10009,11079.13,2026-08-05,success,0.00
ORD-10026,6681.33,2026-08-05,success,133.63
ORD-10030,3543.14,2026-08-05,success,88.58
ORD-10049,24973.68,2026-08-05,success,0.00
ORD-10064,7070.69,2026-08-05,success,0.00
ORD-10077,6062.35,2026-08-05,success,0.00
ORD-10008,11199.35,2026-08-06,success,0.00
ORD-10037,14917.00,2026-08-06,success,0.00
ORD-10039,16685.13,2026-08-06,success,0.00
ORD-10042,17724.99,2026-08-06,success,0.00
ORD-10065,7070.69,2026-08-06,success,0.00
ORD-10083,120.49,2026-08-06,success,0.00
ORD-10041,5058.47,2026-08-07,success,0.00
ORD-10053,6990.69,2026-08-07,success,0.00
ORD-10076,17623.57,2026-08-07,success,0.00
ORD-10002,4622.94,2026-08-08,success,0.00
ORD-10005,18440.25,2026-08-08,success,0.00
ORD-10016,12505.35,2026-08-08,success,0.00
ORD-10020,15197.48,2026-08-08,success,0.00
ORD-10046,1948.30,2026-08-08,success,0.00
ORD-10059,285.09,2026-08-08,success,0.00
ORD-10081,13367.62,2026-08-08,success,0.00
ORD-10021,22483.41,2026-08-09,success,0.00
ORD-10027,20394.68,2026-08-09,success,509.87
ORD-10035,21053.43,2026-08-09,success,0.00
ORD-10038,16453.97,2026-08-09,success,0.00
ORD-10051,18065.21,2026-08-09,success,0.00
ORD-10040,20987.64,2026-08-10,success,0.00
ORD-10044,16060.02,2026-08-11,success,0.00
ORD-10058,19327.70,2026-08-11,success,0.00
ORD-10061,16897.30,2026-08-11,success,0.00
ORD-10011,1473.93,2026-08-12,success,0.00
ORD-10014,23137.08,2026-08-12,success,0.00
ORD-10018,22010.34,2026-08-12,success,0.00
ORD-10028,21121.51,2026-08-12,success,633.65
ORD-10055,22059.83,2026-08-12,success,0.00
ORD-10072,13929.52,2026-08-12,success,0.00
ORD-10023,2218.27,2026-08-13,success,0.00
ORD-10054,23411.39,2026-08-13,success,0.00
ORD-10052,17340.77,2026-08-14,success,0.00
ORD-10070,6289.12,2026-08-14,success,0.00
ORD-10012,12453.10,2026-08-15,success,0.00
ORD-10017,5379.47,2026-08-15,success,0.00
ORD-10056,14405.66,2026-08-15,success,0.00
ORD-10078,2520.56,2026-08-15,success,0.00
ORD-10025,21114.58,2026-08-16,success,0.00
ORD-10029,6532.65,2026-08-16,success,130.65
ORD-10050,4257.84,2026-08-16,success,0.00
ORD-10062,9175.85,2026-08-16,success,0.00
ORD-10068,15538.31,2026-08-16,success,0.00
ORD-10082,13191.07,2026-08-16,success,0.00
ORD-10043,68.76,2026-08-17,success,0.00
ORD-10063,9175.85,2026-08-17,success,0.00
ORD-10069,15538.31,2026-08-17,success,0.00
ORD-10006,7273.57,2026-08-18,success,0.00
ORD-10013,20649.79,2026-08-18,success,0.00
ORD-10033,19338.32,2026-08-18,success,483.46
ORD-10079,1707.83,2026-08-18,success,0.00
ORD-10080,3106.96,2026-08-18,success,0.00
ORD-10007,262.97,2026-08-19,success,0.00
ORD-10024,7017.83,2026-08-19,success,0.00
ORD-10047,2630.10,2026-08-19,success,0.00
ORD-10066,23752.73,2026-08-19,success,0.00
ORD-10031,24298.54,2026-08-20,success,728.96
ORD-10032,14608.48,2026-08-20,success,292.17
ORD-10067,23752.73,2026-08-20,success,0.00
